"Time","alice inbound","bob inbound","charlie inbound","dave inbound","erin inbound","frank inbound","ian inbound","jade inbound","luke inbound","mike inbound"
1732280400000,15521.733333333332,13828.355555555554,13654.844444444443,24089.977777777778,undefined,267.2888888888889,15398.177777777777,undefined,12420.2,6772.444444444444
1732287600000,17623.955555555553,10986.466666666667,9749.266666666666,18567.266666666666,undefined,241.4222222222222,10966.844444444443,undefined,7600.777777777777,1752.711111111111
1732294800000,44343.444444444445,51286.53333333333,40296.35555555556,82790.15555555555,undefined,348.3111111111111,46633.55555555555,undefined,39180.933333333334,6768.844444444444
1732302000000,8502.8,10176.844444444443,7542.8,13767.511111111111,undefined,288.9555555555555,8125.177777777777,undefined,10266.22222222222,1990.911111111111
1732309200000,8872.844444444443,10300,9449.644444444444,18901.222222222223,undefined,253.2222222222222,10464.822222222223,undefined,8484.955555555554,1784
1732316400000,6677.266666666666,7800.977777777777,6582.022222222222,13528.266666666665,undefined,154.64444444444445,7422.2,undefined,6644.177777777777,1349.4888888888888
1732323600000,11513.888888888889,9668.02222222222,9389.444444444443,15456.777777777777,undefined,325.37777777777774,9555.71111111111,undefined,10476.066666666668,3342.1777777777775
1732330800000,13415.91111111111,8971.422222222222,8808.133333333333,15996.644444444444,undefined,254.46666666666664,12887.777777777777,undefined,11452.088888888888,1564.5555555555554
1732338000000,5489.266666666666,6299.355555555555,5478.2,9870.62222222222,undefined,1360.3111111111111,5317.11111111111,undefined,6355,1150.0222222222221
1732345200000,9144.71111111111,9328.177777777777,9251.91111111111,16404.11111111111,undefined,283.68888888888887,9840.177777777777,undefined,7933.133333333333,1849.8444444444442
1732352400000,13371.488888888887,12355.4,12870.488888888887,21149.088888888888,undefined,399.9555555555555,12805.244444444445,undefined,11519.977777777776,2921.777777777778
1732359600000,9570.688888888888,8678.155555555555,7927.466666666666,14324.577777777777,undefined,313.2,8778.955555555556,undefined,7445.555555555556,1486.7555555555555
1732366800000,11771.422222222223,10026.666666666666,11192.555555555555,18895.28888888889,undefined,326.6222222222222,9960.933333333332,undefined,9940.02222222222,3258.911111111111
1732374000000,9681.955555555554,11833.022222222224,10460.644444444444,19058.333333333332,undefined,209.64444444444445,11313.733333333334,undefined,10398.111111111111,2157.4666666666662
1732381200000,18201.844444444443,15992.244444444445,14494.177777777777,23756.688888888886,undefined,418.6,20559.466666666667,undefined,16093.91111111111,4228.666666666667
1732388400000,11313.266666666666,10969.288888888888,9501.666666666666,23445.222222222223,undefined,187.88888888888886,11405.822222222221,undefined,9556.6,1776.5999999999997
1732395600000,8364.688888888888,8706.711111111112,6952.355555555554,13611.91111111111,undefined,170.77777777777777,7479.666666666667,undefined,7042.288888888888,1369.4666666666667
1732402800000,22918.4,27105.555555555555,23098.866666666665,52596.666666666664,undefined,201.7111111111111,19454.466666666667,undefined,18715.6,5097.177777777777
1732410000000,7855.133333333333,8551.733333333334,8176.399999999999,14233.377777777778,undefined,348.6222222222222,8506.333333333334,undefined,7016.733333333333,1193.4666666666667
1732417200000,8264.644444444444,8467.888888888889,8011,16501.644444444442,undefined,371.5111111111111,8503.222222222223,undefined,6528.466666666666,2216.3333333333335
1732424400000,7604.688888888889,8024.155555555554,6827.288888888887,14668.999999999998,undefined,318.3999999999999,6676.644444444444,undefined,5641.133333333332,1904.6888888888889
1732431600000,6789.0888888888885,7693.8,6677.644444444444,14055.577777777777,undefined,317.8444444444444,6486.466666666666,undefined,8398.044444444444,1678.4
1732438800000,9493.4,12004.8,10312.022222222224,19540.644444444442,undefined,88.57777777777778,9928.511111111111,undefined,8130.31111111111,2884.8
1732446000000,8123.155555555555,9922.844444444443,7959.9333333333325,16564.11111111111,undefined,334.7111111111111,7251.199999999999,undefined,6957.133333333333,1945.2666666666667
1732453200000,11949.08888888889,10748.599999999999,9903.733333333334,22941.888888888887,undefined,189.17777777777778,11696.933333333332,undefined,10211.4,2400.3333333333335
1732460400000,8881.244444444445,13475.22222222222,10387.6,25921.377777777776,undefined,92.84444444444443,8855.28888888889,undefined,6857.644444444444,2192.288888888889
1732467600000,15307.8,17762.333333333332,13461.555555555555,31817.48888888889,undefined,316.2,15894.911111111109,undefined,13152.28888888889,2682.4
